,Lemma Trigrams
Blauer Bote Magazin,0.002728226652675761
FC Bayer München,0.0016789087093389296
Kim Jong Un,0.001049317943336831
+ + +,0.0008394543546694648
1. FC Köln,0.0008394543546694648
stehen unmittelbar bevor,0.0008394543546694648
Klinik bieten Fußballhassern,0.0006295907660020986
garantieren vollständig Jahresrückblick,0.0006295907660020986
5 Million Euro,0.0006295907660020986
+ + EIL,0.0006295907660020986
Wiener Linie fahren,0.0006295907660020986
einzig garantieren vollständig,0.0006295907660020986
Tour de France,0.0006295907660020986
Bundesregierung richten Krisenstab,0.0006295907660020986
FC Bayer verpflichten,0.0006295907660020986
Google Street View,0.0006295907660020986
Bayern-Fans plötzlich Anhänger,0.0004197271773347324
Weiße Haus erleiden,0.0004197271773347324
Bayer München verpflichten,0.0004197271773347324
wild Stier ruinieren,0.0004197271773347324
Bayer München feiern,0.0004197271773347324
Kim Jong-un drohen,0.0004197271773347324
Leistung deutsch Athlet,0.0004197271773347324
Berlin Leinwand anbrüllen,0.0004197271773347324
Angela Merkel tragen,0.0004197271773347324
Ronald Pofalla wechseln,0.0004197271773347324
Yeti sichten UFO,0.0004197271773347324
00001010 00001101 00001010,0.0004197271773347324
n-tv gründen Hitler.tv,0.0004197271773347324
Zusätzlicher bezahlt Urlaub,0.0004197271773347324
einsam Verkehrsinsel fest,0.0004197271773347324
FDP knacken Null-Prozent-Hürde,0.0004197271773347324
Einbruchsmarathon stellen Polizei,0.0004197271773347324
Facebook-App löschen automatisch,0.0004197271773347324
Germanys Next Dschungelcampbewohnerin,0.0004197271773347324
Umweltschutzverbände schlagen Alarm,0.0004197271773347324
Studie entlarven Baum,0.0004197271773347324
Bayer München trennen,0.0004197271773347324
Ex-Politiker Adolf Hitler,0.0004197271773347324
Hamburger SV vergeigen,0.0004197271773347324
Nackensteaks versehentlich monatelang,0.0004197271773347324
00001101 00001010 00001101,0.0004197271773347324
Kim opfern Raketenprogramm,0.0004197271773347324
feiern vorzeitigen Klassenerhalt,0.0004197271773347324
Yang beenden langjährig,0.0004197271773347324
Dinner for One,0.0004197271773347324
Überdosis Cannabis einschlafen,0.0004197271773347324
deutsch Frau hetzen,0.0004197271773347324
Jogi Löw fällen,0.0004197271773347324
Gabriel drohen Katzenbaby,0.0004197271773347324
