,Token Trigrams
Blauer Bote Magazin,0.002728226652675761
FC Bayern München,0.0016789087093389296
Kim Jong Un,0.001049317943336831
1. FC Köln,0.0008394543546694648
+ + +,0.0008394543546694648
steht unmittelbar bevor,0.0008394543546694648
garantiert vollständige Jahresrückblick,0.0006295907660020986
einzige garantiert vollständige,0.0006295907660020986
Bundesregierung richtet Krisenstab,0.0006295907660020986
Google Street View,0.0006295907660020986
5 Millionen Euro,0.0006295907660020986
Klinik bietet Fußballhassern,0.0006295907660020986
Wiener Linien führen,0.0006295907660020986
+ + EIL,0.0006295907660020986
Tour de France,0.0006295907660020986
FC Bayern verpflichtet,0.0006295907660020986
HSV entlässt Trainer,0.0004197271773347324
Samsung Galaxy Note,0.0004197271773347324
00001010 00001101 00001010,0.0004197271773347324
Angela Merkel trägt,0.0004197271773347324
Einbruchsmarathon stellt Polizei,0.0004197271773347324
Nackensteaks versehentlich monatelang,0.0004197271773347324
SV vergeigt Qualifikation,0.0004197271773347324
Facebook-App löscht automatisch,0.0004197271773347324
Mann saß 20,0.0004197271773347324
Grimme Online Award,0.0004197271773347324
Mark Zuckerberg löscht,0.0004197271773347324
Berlin Leinwand anbrüllt,0.0004197271773347324
Germanys Next Dschungelcampbewohnerin,0.0004197271773347324
VW präsentiert neues,0.0004197271773347324
360 Grad gedreht,0.0004197271773347324
Met Your Mother,0.0004197271773347324
I Met Your,0.0004197271773347324
NRA schickt Geschenkkorb,0.0004197271773347324
Bernd Lucke gründet,0.0004197271773347324
feiert vorzeitigen Klassenerhalt,0.0004197271773347324
How I Met,0.0004197271773347324
Mann baut schlimmen,0.0004197271773347324
Kim opfert Raketenprogramm,0.0004197271773347324
wilden Stieren ruiniert,0.0004197271773347324
Ronald Pofalla wechselt,0.0004197271773347324
Bayern München trennt,0.0004197271773347324
Umweltschutzverbände schlagen Alarm,0.0004197271773347324
Gabriel droht Katzenbaby,0.0004197271773347324
Drittem Weltkrieg gedenken,0.0004197271773347324
Leistung deutscher Athleten,0.0004197271773347324
9 erstaunliche Dinge,0.0004197271773347324
Bayern-Fans plötzlich Anhänger,0.0004197271773347324
Galaxy Note 7,0.0004197271773347324
gelingt wichtiger Schlag,0.0004197271773347324
